Date,Year,Month,Recession,Consumer_Confidence,Seasonality_Weight,Price,Advertising_Expenditure,Competition,GDP,Growth_Rate,unemployment_rate,Automobile_Sales,Vehicle_Type,City
1981-05-31,1981,May,1,116.55,0.86,20046,1537.1999999999998,4,55.25,0.72,4.1,711.74,SmallFamilyCar,California
1981-05-31,1981,May,1,116.55,0.9,75311,827.4,4,55.25,0.72,4.1,711.74,Sports,California
1981-06-30,1981,Jun,1,92.96,0.89,17255,2765.7,9,27.88,-0.98,4.3,711.74,SuperMiniCar,California
1981-06-30,1981,Jun,1,92.96,0.9,38659,2765.7,9,27.88,-0.98,4.3,711.74,MediumFamilyCar,California
1981-06-30,1981,Jun,1,92.96,0.82,23359,2765.7,9,27.88,-0.98,4.3,711.74,SmallFamilyCar,California
1981-07-31,1981,Jul,1,90.55,0.5,18610,918.4,8,39.89,0.3,5.6,618.0,SuperMiniCar,New York
1981-07-31,1981,Jul,1,90.55,0.5,75051,494.2,8,39.89,0.3,5.6,228.0,Sports,New York
1981-07-31,1981,Jul,1,90.55,0.5,38195,918.4,8,39.89,0.3,5.6,643.0,MediumFamilyCar,New York
1981-08-31,1981,Aug,1,123.03,0.25,16607,1146.6,5,29.14,-0.37,3.7,711.74,SuperMiniCar,New York
1981-08-31,1981,Aug,1,123.03,0.25,24873,1146.6,5,29.14,-0.37,3.7,711.74,SmallFamilyCar,New York
1981-08-31,1981,Aug,1,123.03,0.25,59540,617.4,5,29.14,-0.37,3.7,711.74,ExecutiveCar,New York
1981-09-30,1981,Sep,1,109.86,0.88,54611,1441.3,8,60.59,0.52,3.1,711.74,ExecutiveCar,Illinois
1981-09-30,1981,Sep,1,109.86,0.88,35966,2677.5,8,60.59,0.52,3.1,711.74,MediumFamilyCar,Illinois
1981-09-30,1981,Sep,1,109.86,0.95,76420,1441.3,8,60.59,0.52,3.1,711.74,Sports,Illinois
1981-09-30,1981,Sep,1,109.86,0.89,25135,2677.5,8,60.59,0.52,3.1,711.74,SmallFamilyCar,Illinois
1981-10-31,1981,Oct,1,94.06,0.68,71184,1309.6999999999998,5,27.21,-1.23,4.7,219.0,Sports,Illinois
1981-10-31,1981,Oct,1,94.06,0.68,38837,2432.5,5,27.21,-1.23,4.7,634.0,MediumFamilyCar,Illinois
1981-10-31,1981,Oct,1,94.06,0.65,52839,1309.6999999999998,5,27.21,-1.23,4.7,231.0,ExecutiveCar,Illinois
1981-10-31,1981,Oct,1,94.06,0.68,24806,2432.5,5,27.21,-1.23,4.7,663.0,SmallFamilyCar,Illinois
1981-11-30,1981,Nov,1,102.18,0.86,20400,2929.5,9,35.55,0.23,3.3,565.0,SmallFamilyCar,Georgia
1981-11-30,1981,Nov,1,102.18,0.88,58527,1577.1,9,35.55,0.23,3.3,196.0,ExecutiveCar,Georgia
1981-11-30,1981,Nov,1,102.18,0.81,15984,2929.5,9,35.55,0.23,3.3,545.0,SuperMiniCar,Georgia
1981-12-31,1981,Dec,1,119.46,1.41,74555,1933.4,8,57.26,0.38,2.6,460.0,Sports,California
1981-12-31,1981,Dec,1,119.46,1.05,55878,1933.4,8,57.26,0.38,2.6,451.0,ExecutiveCar,California
1981-12-31,1981,Dec,1,119.46,1.21,30117,3589.6,8,57.26,0.38,2.6,952.0,MediumFamilyCar,California
1981-12-31,1981,Dec,1,119.46,1.41,18676,3589.6,8,57.26,0.38,2.6,955.0,SuperMiniCar,California
1981-12-31,1981,Dec,1,119.46,1.39,23990,3589.6,8,57.26,0.38,2.6,928.0,SmallFamilyCar,California
1982-01-31,1982,Jan,1,106.92,0.36,18380,2784.6,6,55.76,-0.03,5.3,234.0,SuperMiniCar,New York
1982-01-31,1982,Jan,1,106.92,0.37,73385,1499.4,6,55.76,-0.03,5.3,82.0,Sports,New York
1982-01-31,1982,Jan,1,106.92,0.49,25913,2784.6,6,55.76,-0.03,5.3,236.0,SmallFamilyCar,New York
1982-01-31,1982,Jan,1,106.92,0.36,59087,1499.4,6,55.76,-0.03,5.3,76.0,ExecutiveCar,New York
1982-01-31,1982,Jan,1,106.92,0.39,32551,2784.6,6,55.76,-0.03,5.3,222.0,MediumFamilyCar,New York
1982-02-28,1982,Feb,1,112.86,0.34,56303,1073.8,7,23.62,-1.36,4.2,114.0,ExecutiveCar,Illinois
1982-02-28,1982,Feb,1,112.86,0.38,35560,1993.6,7,23.62,-1.36,4.2,298.0,MediumFamilyCar,Illinois
1982-02-28,1982,Feb,1,112.86,0.44,76396,1073.8,7,23.62,-1.36,4.2,104.0,Sports,Illinois
1982-02-28,1982,Feb,1,112.86,0.39,15519,1993.6,7,23.62,-1.36,4.2,302.0,SuperMiniCar,Illinois
1982-02-28,1982,Feb,1,112.86,0.43,27124,1993.6,7,23.62,-1.36,4.2,300.0,SmallFamilyCar,Illinois
1982-03-31,1982,Mar,1,108.05,0.83,23157,4288.9,6,53.83,0.56,5.0,1221.0,SmallFamilyCar,New York
1982-03-31,1982,Mar,1,108.05,0.91,34289,4288.9,6,53.83,0.56,5.0,1262.0,MediumFamilyCar,New York
1982-03-31,1982,Mar,1,108.05,0.95,50851,2309.3,6,53.83,0.56,5.0,765.0,ExecutiveCar,New York
1982-03-31,1982,Mar,1,108.05,0.8,15590,4288.9,6,53.83,0.56,5.0,1264.0,SuperMiniCar,New York
1982-03-31,1982,Mar,1,108.05,0.79,78666,2309.3,6,53.83,0.56,5.0,767.0,Sports,New York
1982-04-30,1982,Apr,1,109.3,1.0,51687,1283.1,4,36.95,-0.46,3.2,217.0,ExecutiveCar,California
1982-04-30,1982,Apr,1,109.3,1.0,30846,2383.5,4,36.95,-0.46,3.2,605.0,MediumFamilyCar,California
1982-04-30,1982,Apr,1,109.3,1.0,79274,1283.1,4,36.95,-0.46,3.2,208.0,Sports,California
1982-05-31,1982,May,1,100.4,0.88,16050,1201.1999999999998,6,38.16,0.03,4.0,766.0,SuperMiniCar,Illinois
1982-05-31,1982,May,1,100.4,0.87,24345,1201.1999999999998,6,38.16,0.03,4.0,755.0,SmallFamilyCar,Illinois
1982-05-31,1982,May,1,100.4,0.94,36316,1201.1999999999998,6,38.16,0.03,4.0,793.0,MediumFamilyCar,Illinois
1982-05-31,1982,May,1,100.4,0.94,56833,646.8,6,38.16,0.03,4.0,277.0,ExecutiveCar,Illinois
1982-06-30,1982,Jun,1,100.11,0.87,20390,2131.5,9,21.04,-0.81,3.8,1211.0,SmallFamilyCar,New York
1982-06-30,1982,Jun,1,100.11,0.95,52427,1147.3,9,21.04,-0.81,3.8,748.0,ExecutiveCar,New York
1982-06-30,1982,Jun,1,100.11,0.96,36469,2131.5,9,21.04,-0.81,3.8,1248.0,MediumFamilyCar,New York
1982-06-30,1982,Jun,1,100.11,0.92,18633,2131.5,9,21.04,-0.81,3.8,1192.0,SuperMiniCar,New York
1982-07-31,1982,Jul,1,102.67,0.5,59760,1291.5,3,18.45,-0.14,3.2,282.0,ExecutiveCar,Illinois
1982-07-31,1982,Jul,1,102.67,0.5,39333,2398.9,3,18.45,-0.14,3.2,736.0,MediumFamilyCar,Illinois
1982-07-31,1982,Jul,1,102.67,0.5,23853,2398.9,3,18.45,-0.14,3.2,715.0,SmallFamilyCar,Illinois
1982-07-31,1982,Jul,1,102.67,0.5,19444,2398.9,3,18.45,-0.14,3.2,734.0,SuperMiniCar,Illinois
1982-08-31,1982,Aug,1,107.34,0.25,24430,3072.3,4,50.17,0.63,4.6,534.0,SmallFamilyCar,California
1982-08-31,1982,Aug,1,107.34,0.25,72558,1654.1,4,50.17,0.63,4.6,208.0,Sports,California
1982-08-31,1982,Aug,1,107.34,0.25,54000,1654.1,4,50.17,0.63,4.6,206.0,ExecutiveCar,California
1982-08-31,1982,Aug,1,107.34,0.25,38915,3072.3,4,50.17,0.63,4.6,554.0,MediumFamilyCar,California
1982-08-31,1982,Aug,1,107.34,0.25,15959,3072.3,4,50.17,0.63,4.6,580.0,SuperMiniCar,California
1982-09-30,1982,Sep,1,97.17,0.91,77849,1877.4,8,38.83,-0.29,2.8,789.0,Sports,Georgia
1982-09-30,1982,Sep,1,97.17,0.79,55052,1877.4,8,38.83,-0.29,2.8,780.0,ExecutiveCar,Georgia
1982-09-30,1982,Sep,1,97.17,0.76,15692,3487.4,8,38.83,-0.29,2.8,1238.0,SuperMiniCar,Georgia
1982-09-30,1982,Sep,1,97.17,0.97,30224,3487.4,8,38.83,-0.29,2.8,1262.0,MediumFamilyCar,Georgia
1982-10-31,1982,Oct,1,101.22,0.7,20628,3479.7,4,35.91,-0.08,4.1,736.0,SmallFamilyCar,New York
1982-10-31,1982,Oct,1,101.22,0.67,18899,3479.7,4,35.91,-0.08,4.1,711.0,SuperMiniCar,New York
1982-10-31,1982,Oct,1,101.22,0.69,52738,1873.9,4,35.91,-0.08,4.1,258.0,ExecutiveCar,New York
1982-10-31,1982,Oct,1,101.22,0.69,72047,1873.9,4,35.91,-0.08,4.1,267.0,Sports,New York
1982-10-31,1982,Oct,1,101.22,0.66,34208,3479.7,4,35.91,-0.08,4.1,703.0,MediumFamilyCar,New York
1982-11-30,1982,Nov,1,96.9,0.84,19473,2724.4,7,50.25,0.29,5.4,116.0,SuperMiniCar,Georgia
1982-11-30,1982,Nov,1,96.9,0.82,27686,2724.4,7,50.25,0.29,5.4,100.0,SmallFamilyCar,Georgia
1982-11-30,1982,Nov,1,96.9,0.83,55732,1467.1999999999998,7,50.25,0.29,5.4,40.0,ExecutiveCar,Georgia
1982-12-31,1982,Dec,1,101.16,1.35,36283,3601.4999999999995,5,52.01,0.03,3.6,3260.0,MediumFamilyCar,Georgia
1982-12-31,1982,Dec,1,101.16,1.45,17946,3601.4999999999995,5,52.01,0.03,3.6,3232.0,SuperMiniCar,Georgia
1982-12-31,1982,Dec,1,101.16,1.33,55387,1939.7,5,52.01,0.03,3.6,758.0,ExecutiveCar,Georgia
1982-12-31,1982,Dec,1,101.16,1.13,24232,3601.4999999999995,5,52.01,0.03,3.6,3247.0,SmallFamilyCar,Georgia
1983-01-31,1983,Jan,0,87.49,0.45,32048,2943.0,8,22.29,-1.33,3.2,288.0,MediumFamilyCar,Illinois
1983-01-31,1983,Jan,0,87.49,0.37,58002,2943.0,8,22.29,-1.33,3.2,308.0,ExecutiveCar,Illinois
1983-01-31,1983,Jan,0,87.49,0.42,15526,2943.0,8,22.29,-1.33,3.2,309.0,SuperMiniCar,Illinois
1983-02-28,1983,Feb,0,126.06,0.44,18224,4621.0,4,12.82,-1.12,2.4,1874.0,SuperMiniCar,Georgia
1983-02-28,1983,Feb,0,126.06,0.37,36233,4621.0,4,12.82,-1.12,2.4,1922.0,MediumFamilyCar,Georgia
1983-02-28,1983,Feb,0,126.06,0.45,72747,4621.0,4,12.82,-1.12,2.4,1886.0,Sports,Georgia
1983-02-28,1983,Feb,0,126.06,0.39,55536,4621.0,4,12.82,-1.12,2.4,1893.0,ExecutiveCar,Georgia
1983-02-28,1983,Feb,0,126.06,0.44,22930,4621.0,4,12.82,-1.12,2.4,1884.0,SmallFamilyCar,Georgia
1983-03-31,1983,Mar,0,92.67,0.96,17253,3038.0,8,12.94,0.01,1.5,6128.0,SuperMiniCar,California
1983-03-31,1983,Mar,0,92.67,0.97,79167,3038.0,8,12.94,0.01,1.5,6149.0,Sports,California
1983-03-31,1983,Mar,0,92.67,0.83,26831,3038.0,8,12.94,0.01,1.5,6165.0,SmallFamilyCar,California
1983-04-30,1983,Apr,0,96.39,1.0,53913,4490.0,8,25.21,0.49,2.0,3203.0,ExecutiveCar,Illinois
1983-04-30,1983,Apr,0,96.39,1.0,79998,4490.0,8,25.21,0.49,2.0,3192.0,Sports,Illinois
1983-04-30,1983,Apr,0,96.39,1.0,39765,4490.0,8,25.21,0.49,2.0,3260.0,MediumFamilyCar,Illinois
1983-04-30,1983,Apr,0,96.39,1.0,21521,4490.0,8,25.21,0.49,2.0,3224.0,SmallFamilyCar,Illinois
1983-04-30,1983,Apr,0,96.39,1.0,18344,4490.0,8,25.21,0.49,2.0,3216.0,SuperMiniCar,Illinois
1983-05-31,1983,May,0,91.81,0.95,18965,4677.0,8,14.63,-0.72,2.3,915.0,SuperMiniCar,California
1983-05-31,1983,May,0,91.81,0.82,70189,4677.0,8,14.63,-0.72,2.3,928.0,Sports,California
1983-05-31,1983,May,0,91.81,0.91,51066,4677.0,8,14.63,-0.72,2.3,885.0,ExecutiveCar,California
1983-05-31,1983,May,0,91.81,0.99,31828,4677.0,8,14.63,-0.72,2.3,878.0,MediumFamilyCar,California
1983-06-30,1983,Jun,0,106.16,0.83,72734,2118.0,5,18.76,0.22,2.3,7314.0,Sports,Illinois
1983-06-30,1983,Jun,0,106.16,0.88,31917,2118.0,5,18.76,0.22,2.3,7383.0,MediumFamilyCar,Illinois
1983-06-30,1983,Jun,0,106.16,0.76,57723,2118.0,5,18.76,0.22,2.3,7398.0,ExecutiveCar,Illinois
1983-06-30,1983,Jun,0,106.16,0.82,16875,2118.0,5,18.76,0.22,2.3,7396.0,SuperMiniCar,Illinois
1983-06-30,1983,Jun,0,106.16,0.78,20826,2118.0,5,18.76,0.22,2.3,7381.0,SmallFamilyCar,Illinois
1983-07-31,1983,Jul,0,98.04,0.5,16763,4888.0,9,32.15,0.42,3.0,475.0,SuperMiniCar,Georgia
1983-07-31,1983,Jul,0,98.04,0.5,54380,4888.0,9,32.15,0.42,3.0,475.0,ExecutiveCar,Georgia
1983-07-31,1983,Jul,0,98.04,0.5,34234,4888.0,9,32.15,0.42,3.0,421.0,MediumFamilyCar,Georgia
1983-07-31,1983,Jul,0,98.04,0.5,24822,4888.0,9,32.15,0.42,3.0,451.0,SmallFamilyCar,Georgia
1983-07-31,1983,Jul,0,98.04,0.5,73005,4888.0,9,32.15,0.42,3.0,377.0,Sports,Georgia
1983-08-31,1983,Aug,0,90.36,0.25,36988,2604.0,6,59.05,0.46,2.4,4164.0,MediumFamilyCar,California
1983-08-31,1983,Aug,0,90.36,0.25,21500,2604.0,6,59.05,0.46,2.4,4158.0,SmallFamilyCar,California
1983-08-31,1983,Aug,0,90.36,0.25,74658,2604.0,6,59.05,0.46,2.4,4117.0,Sports,California
1983-08-31,1983,Aug,0,90.36,0.25,54107,2604.0,6,59.05,0.46,2.4,4169.0,ExecutiveCar,California
1983-08-31,1983,Aug,0,90.36,0.25,15520,2604.0,6,59.05,0.46,2.4,4114.0,SuperMiniCar,California
1983-09-30,1983,Sep,0,106.57,0.85,71899,3365.0,8,45.68,-0.29,1.7,6764.0,Sports,New York
1983-09-30,1983,Sep,0,106.57,0.86,32026,3365.0,8,45.68,-0.29,1.7,6812.0,MediumFamilyCar,New York
1983-09-30,1983,Sep,0,106.57,0.99,55726,3365.0,8,45.68,-0.29,1.7,6784.0,ExecutiveCar,New York
1983-09-30,1983,Sep,0,106.57,0.84,26737,3365.0,8,45.68,-0.29,1.7,6756.0,SmallFamilyCar,New York
1983-10-31,1983,Oct,0,107.92,0.68,53373,1235.0,3,42.24,-0.08,1.1,4692.0,ExecutiveCar,Illinois
1983-10-31,1983,Oct,0,107.92,0.64,33744,1235.0,3,42.24,-0.08,1.1,4674.0,MediumFamilyCar,Illinois
1983-10-31,1983,Oct,0,107.92,0.7,77734,1235.0,3,42.24,-0.08,1.1,4712.0,Sports,Illinois
1983-10-31,1983,Oct,0,107.92,0.66,16016,1235.0,3,42.24,-0.08,1.1,4679.0,SuperMiniCar,Illinois
1983-11-30,1983,Nov,0,99.33,0.82,39093,2969.0,9,29.52,-0.43,1.3,2986.0,MediumFamilyCar,California
1983-11-30,1983,Nov,0,99.33,0.88,58945,2969.0,9,29.52,-0.43,1.3,2972.0,ExecutiveCar,California
1983-11-30,1983,Nov,0,99.33,0.85,15116,2969.0,9,29.52,-0.43,1.3,3001.0,SuperMiniCar,California
1983-12-31,1983,Dec,0,93.36,1.49,23294,1333.0,7,66.54,0.56,3.0,22993.0,SmallFamilyCar,Illinois
1983-12-31,1983,Dec,0,93.36,1.3,71267,1333.0,7,66.54,0.56,3.0,4042.0,Sports,Illinois
1983-12-31,1983,Dec,0,93.36,1.26,17433,1333.0,7,66.54,0.56,3.0,22996.0,SuperMiniCar,Illinois
1984-01-31,1984,Jan,0,121.91,0.38,15583,2908.0,5,35.53,-0.87,1.2,1660.0,SuperMiniCar,New York
1984-01-31,1984,Jan,0,121.91,0.42,25085,2908.0,5,35.53,-0.87,1.2,1630.0,SmallFamilyCar,New York
1984-01-31,1984,Jan,0,121.91,0.46,71528,2908.0,5,35.53,-0.87,1.2,1634.0,Sports,New York
1984-01-31,1984,Jan,0,121.91,0.49,52082,2908.0,5,35.53,-0.87,1.2,1636.0,ExecutiveCar,New York
1984-02-29,1984,Feb,0,103.4,0.4,15394,1375.0,4,17.55,-1.02,1.4,1944.0,SuperMiniCar,New York
1984-02-29,1984,Feb,0,103.4,0.42,30009,1375.0,4,17.55,-1.02,1.4,1921.0,MediumFamilyCar,New York
1984-02-29,1984,Feb,0,103.4,0.37,22419,1375.0,4,17.55,-1.02,1.4,1938.0,SmallFamilyCar,New York
1984-03-31,1984,Mar,0,87.26,0.93,18788,4530.0,5,48.29,0.64,1.4,6920.0,SuperMiniCar,Georgia
1984-03-31,1984,Mar,0,87.26,0.98,20934,4530.0,5,48.29,0.64,1.4,6959.0,SmallFamilyCar,Georgia
1984-03-31,1984,Mar,0,87.26,1.0,73556,4530.0,5,48.29,0.64,1.4,6883.0,Sports,Georgia
1984-03-31,1984,Mar,0,87.26,0.95,58967,4530.0,5,48.29,0.64,1.4,6910.0,ExecutiveCar,Georgia
1984-03-31,1984,Mar,0,87.26,0.82,30260,4530.0,5,48.29,0.64,1.4,6880.0,MediumFamilyCar,Georgia
1984-04-30,1984,Apr,0,114.14,1.0,23042,2160.0,4,19.1,-1.53,2.1,2538.0,SmallFamilyCar,Illinois
1984-04-30,1984,Apr,0,114.14,1.0,17768,2160.0,4,19.1,-1.53,2.1,2482.0,SuperMiniCar,Illinois
1984-04-30,1984,Apr,0,114.14,1.0,36038,2160.0,4,19.1,-1.53,2.1,2469.0,MediumFamilyCar,Illinois
1984-04-30,1984,Apr,0,114.14,1.0,73890,2160.0,4,19.1,-1.53,2.1,2516.0,Sports,Illinois
1984-05-31,1984,May,0,91.44,0.83,24497,3635.0,5,32.52,0.41,2.2,897.0,SmallFamilyCar,Georgia
1984-05-31,1984,May,0,91.44,0.87,39865,3635.0,5,32.52,0.41,2.2,814.0,MediumFamilyCar,Georgia
1984-05-31,1984,May,0,91.44,0.85,56748,3635.0,5,32.52,0.41,2.2,902.0,ExecutiveCar,Georgia
1984-06-30,1984,Jun,0,127.42,0.83,19167,2570.0,4,41.93,0.22,2.4,5278.0,SuperMiniCar,New York
1984-06-30,1984,Jun,0,127.42,1.0,59817,2570.0,4,41.93,0.22,2.4,5256.0,ExecutiveCar,New York
1984-06-30,1984,Jun,0,127.42,0.86,78838,2570.0,4,41.93,0.22,2.4,5330.0,Sports,New York
1984-06-30,1984,Jun,0,127.42,0.85,32219,2570.0,4,41.93,0.22,2.4,5316.0,MediumFamilyCar,New York
1984-06-30,1984,Jun,0,127.42,0.88,21466,2570.0,4,41.93,0.22,2.4,5288.0,SmallFamilyCar,New York
1984-07-31,1984,Jul,0,100.8,0.5,37041,3560.0,8,63.2,0.34,2.9,4584.0,MediumFamilyCar,New York
1984-07-31,1984,Jul,0,100.8,0.5,18860,3560.0,8,63.2,0.34,2.9,4595.0,SuperMiniCar,New York
1984-07-31,1984,Jul,0,100.8,0.5,50417,3560.0,8,63.2,0.34,2.9,4593.0,ExecutiveCar,New York
1984-07-31,1984,Jul,0,100.8,0.5,75393,3560.0,8,63.2,0.34,2.9,4626.0,Sports,New York
1984-07-31,1984,Jul,0,100.8,0.5,23561,3560.0,8,63.2,0.34,2.9,4619.0,SmallFamilyCar,New York
1984-08-31,1984,Aug,0,110.13,0.25,58306,2319.0,6,41.13,-0.54,2.5,3183.0,ExecutiveCar,California
1984-08-31,1984,Aug,0,110.13,0.25,15273,2319.0,6,41.13,-0.54,2.5,3163.0,SuperMiniCar,California
1984-08-31,1984,Aug,0,110.13,0.25,20614,2319.0,6,41.13,-0.54,2.5,3184.0,SmallFamilyCar,California
